time_from_start,robot1_move_x,robot1_move_y,robot1_move_z,robot1_turn_z,robot2_move_x,robot2_move_y,robot2_move_z,robot2_turn_z,robot3_move_x,robot3_move_y,robot3_move_z,robot3_turn_z
10.030536,-20.084182,0.000000,0.000000,3.141593,-10.623002,2.601885,0.000000,-0.210695,0,3,0,0
10.235220,-21.704404,0.000000,0.000000,3.141593,-9.518687,2.328863,0.000000,-0.273903,0,3,0,0
10.439904,-23.385171,0.000000,0.000000,3.141593,-8.469068,1.999139,0.000000,-0.335035,0,3,0,0
10.644589,-25.113898,0.000000,0.000000,3.141593,-7.517427,1.637222,0.000000,-0.391606,0,3,0,0
10.849273,-26.878598,0.000000,0.000000,3.141593,-6.649593,1.273413,0.000000,-0.378389,0,3,0,0
11.053958,-28.665441,0.000000,0.000000,3.141593,-5.699534,0.926742,0.000000,-0.322196,0,3,0,0
11.258642,-30.461254,0.000000,0.000000,3.141593,-4.659780,0.613859,0.000000,-0.261863,0,3,0,0
11.463326,-32.253452,0.000000,0.000000,3.141593,-3.545141,0.353122,0.000000,-0.198254,0,3,0,0
11.668011,-34.029449,0.000000,0.000000,3.141593,-2.372679,0.157664,0.000000,-0.132205,0,3,0,0
11.872695,-35.776660,0.000000,0.000000,3.141593,-1.160592,0.038029,0.000000,-0.064524,0,3,0,0
12.077380,-37.482431,0.000000,0.000000,3.141593,0.071548,0.000634,0.000000,0.003975,0,3,0,0
12.282064,-39.131241,0.000000,0.000000,3.141593,1.302963,0.047600,0.000000,0.072452,0,3,0,0
12.486748,-40.712274,0.000000,0.000000,3.141593,2.513393,0.176670,0.000000,0.140093,0,3,0,0
12.691433,-42.212947,0.000000,0.000000,3.141593,3.683251,0.381316,0.000000,0.206086,0,3,0,0
12.896117,-43.620673,0.000000,0.000000,3.141593,4.793367,0.650614,0.000000,0.269560,0,3,0,0
13.100802,-44.922867,0.000000,0.000000,3.141593,5.828130,0.969987,0.000000,0.329733,0,3,0,0
13.305486,-46.106944,0.000000,0.000000,3.141593,6.773088,1.323595,0.000000,0.385795,0,3,0,0
13.510170,-47.157541,0.000000,0.000000,3.141593,7.646616,1.690005,0.000000,0.383853,0,3,0,0
13.714855,-48.060295,0.000000,0.000000,3.141593,8.597263,2.043254,0.000000,0.327503,0,3,0,0
13.919539,-48.805941,0.000000,0.000000,3.141593,9.627295,2.359102,0.000000,0.267640,0,3,0,0
14.124224,-49.381895,0.000000,0.000000,3.141593,10.708499,2.619856,0.000000,0.205841,0,3,0,0
14.328908,-49.775571,0.000000,0.000000,3.141593,11.810107,2.814449,0.000000,0.143683,0,3,0,0
14.533592,-49.974384,0.000000,0.000000,3.141593,12.899840,2.938343,0.000000,0.082742,0,3,0,0
14.738277,-49.982194,0.000000,0.000000,3.141593,13.944800,2.994515,0.000000,0.024597,0,3,0,0
14.942961,-49.982194,0.000000,0.000000,3.141593,14.951384,3.000000,0.000000,0.000000,0,3,0,0
15.147646,-49.982194,0.000000,0.000000,3.141593,16.081964,3.000000,0.000000,0.000000,0,3,0,0
15.352330,-49.982194,0.000000,0.000000,3.141593,17.344119,3.000000,0.000000,0.000000,0,3,0,0
15.557014,-49.982194,0.000000,0.000000,3.141593,18.723019,3.000000,0.000000,0.000000,0,3,0,0
15.761699,-49.982194,0.000000,0.000000,3.141593,20.204672,3.000000,0.000000,0.000000,0,3,0,0
15.966383,-49.982194,0.000000,0.000000,3.141593,21.775090,3.000000,0.000000,0.000000,0,3,0,0
16.171068,-49.982194,0.000000,0.000000,3.141593,23.420283,3.000000,0.000000,0.000000,0,3,0,0
16.375752,-49.982194,0.000000,0.000000,3.141593,25.127761,3.000000,0.000000,0.000000,0,3,0,0
16.580436,-49.982194,0.000000,0.000000,3.141593,26.881438,3.000000,0.000000,0.000000,0,3,0,0
16.785121,-49.982194,0.000000,0.000000,3.141593,28.666428,3.000000,0.000000,0.000000,0,3,0,0
16.989805,-49.982194,0.000000,0.000000,3.141593,30.468740,3.000000,0.000000,0.000000,0,3,0,0
17.194490,-49.982194,0.000000,0.000000,3.141593,32.274384,3.000000,0.000000,0.000000,0,3,0,0
17.399174,-49.982194,0.000000,0.000000,3.141593,34.069369,3.000000,0.000000,0.000000,0,3,0,0
17.603858,-49.982194,0.000000,0.000000,3.141593,35.838733,3.000000,0.000000,0.000000,0,3,0,0
17.808543,-49.982194,0.000000,0.000000,3.141593,37.567377,3.000000,0.000000,0.000000,0,3,0,0
18.013227,-49.982194,0.000000,0.000000,3.141593,39.241900,3.000000,0.000000,0.000000,0,3,0,0
18.217912,-49.982194,0.000000,0.000000,3.141593,40.848314,3.000000,0.000000,0.000000,0,3,0,0
18.422596,-49.982194,0.000000,0.000000,3.141593,42.372627,3.000000,0.000000,0.000000,0,3,0,0
18.627280,-49.982194,0.000000,0.000000,3.141593,43.800849,3.000000,0.000000,0.000000,0,3,0,0
18.831965,-49.982194,0.000000,0.000000,3.141593,45.117086,3.000000,0.000000,0.000000,0,3,0,0
19.036649,-49.982194,0.000000,0.000000,3.141593,46.304140,3.000000,0.000000,0.000000,0,3,0,0
19.241334,-49.982194,0.000000,0.000000,3.141593,47.351641,3.000000,0.000000,0.000000,0,3,0,0
19.446018,-49.982194,0.000000,0.000000,3.141593,48.245599,3.000000,0.000000,0.000000,0,3,0,0
19.650702,-49.982194,0.000000,0.000000,3.141593,48.972025,3.000000,0.000000,0.000000,0,3,0,0
19.855387,-49.982194,0.000000,0.000000,3.141593,49.516928,3.000000,0.000000,0.000000,0,3,0,0
20.060071,-49.982194,0.000000,0.000000,3.141593,49.865027,3.000000,0.000000,0.000000,0,3,0,0
20.264756,-49.982194,0.000000,0.000000,3.141593,49.993933,3.000000,0.000000,0.000000,0,3,0,0
