time_from_start,robot1_move_x,robot1_move_y,robot1_move_z,robot1_turn_z,robot2_move_x,robot2_move_y,robot2_move_z,robot2_turn_z,robot3_move_x,robot3_move_y,robot3_move_z,robot3_turn_z
9.742576,-10.967759,0.000000,0.000000,3.141593,-5.284281,2.956548,0.000000,-0.119583,10,10,0,0
9.941383,-12.296890,0.000000,0.000000,3.141593,-4.687240,2.854296,0.000000,-0.220589,10,10,0,0
10.140191,-13.713963,0.000000,0.000000,3.141593,-4.083824,2.685402,0.000000,-0.325078,10,10,0,0
10.338999,-15.202083,0.000000,0.000000,3.141593,-3.484886,2.446554,0.000000,-0.432607,10,10,0,0
10.537806,-16.755540,0.000000,0.000000,3.141593,-2.902197,2.138193,0.000000,-0.542547,10,10,0,0
10.736614,-18.365405,0.000000,0.000000,3.141593,-2.348321,1.759860,0.000000,-0.654408,10,10,0,0
10.935422,-20.019845,0.000000,0.000000,3.141593,-1.833475,1.317196,0.000000,-0.767640,10,10,0,0
11.134229,-21.714210,0.000000,0.000000,3.141593,-1.369670,0.814550,0.000000,-0.881700,10,10,0,0
11.333037,-23.434681,0.000000,0.000000,3.141593,-0.964153,0.261563,0.000000,-0.996062,10,10,0,0
11.531845,-25.175855,0.000000,0.000000,3.141593,-0.625959,-0.333340,0.000000,-1.110184,10,10,0,0
11.730652,-26.926208,0.000000,0.000000,3.141593,-0.358579,-0.958132,0.000000,-1.223523,10,10,0,0
11.929460,-28.677692,0.000000,0.000000,3.141593,-0.165937,-1.601637,0.000000,-1.335545,10,10,0,0
12.128268,-30.420684,0.000000,0.000000,3.141593,-0.047133,-2.251613,0.000000,-1.445734,10,10,0,0
12.327075,-32.147077,0.000000,0.000000,3.141593,-0.001664,-2.896191,0.000000,-1.553492,10,10,0,0
12.525883,-33.845463,0.000000,0.000000,3.141593,0.000000,-3.583280,0.000000,-1.570796,10,10,0,0
12.724691,-35.511226,0.000000,0.000000,3.141593,0.000000,-4.400283,0.000000,-1.570796,10,10,0,0
12.923498,-37.127899,0.000000,0.000000,3.141593,0.000000,-5.332161,0.000000,-1.570796,10,10,0,0
13.122306,-38.694439,0.000000,0.000000,3.141593,0.000000,-6.377263,0.000000,-1.570796,10,10,0,0
13.321114,-40.195348,0.000000,0.000000,3.141593,0.000000,-7.535743,0.000000,-1.570796,10,10,0,0
13.519921,-41.625420,0.000000,0.000000,3.141593,0.000000,-8.785387,0.000000,-1.570796,10,10,0,0
13.718729,-42.975163,0.000000,0.000000,3.141593,0.000000,-10.122311,0.000000,-1.570796,10,10,0,0
13.917537,-44.231523,0.000000,0.000000,3.141593,0.000000,-11.546507,0.000000,-1.570796,10,10,0,0
14.116344,-45.394700,0.000000,0.000000,3.141593,0.000000,-13.038155,0.000000,-1.570796,10,10,0,0
14.315152,-46.440103,0.000000,0.000000,3.141593,0.000000,-14.591720,0.000000,-1.570796,10,10,0,0
14.513960,-47.376783,0.000000,0.000000,3.141593,0.000000,-16.205870,0.000000,-1.570796,10,10,0,0
14.712767,-48.178514,0.000000,0.000000,3.141593,0.000000,-17.863761,0.000000,-1.570796,10,10,0,0
14.911575,-48.849620,0.000000,0.000000,3.141593,0.000000,-19.558787,0.000000,-1.570796,10,10,0,0
15.110383,-49.374111,0.000000,0.000000,3.141593,0.000000,-21.287130,0.000000,-1.570796,10,10,0,0
15.309190,-49.742398,0.000000,0.000000,3.141593,0.000000,-23.035501,0.000000,-1.570796,10,10,0,0
15.507998,-49.954248,0.000000,0.000000,3.141593,0.000000,-24.796807,0.000000,-1.570796,10,10,0,0
15.706806,-49.987700,0.000000,0.000000,3.141593,0.000000,-26.563581,0.000000,-1.570796,10,10,0,0
15.905613,-49.987700,0.000000,0.000000,3.141593,0.000000,-28.326671,0.000000,-1.570796,10,10,0,0
16.104421,-49.987700,0.000000,0.000000,3.141593,0.000000,-30.078957,0.000000,-1.570796,10,10,0,0
16.303229,-49.987700,0.000000,0.000000,3.141593,0.000000,-31.808520,0.000000,-1.570796,10,10,0,0
16.502036,-49.987700,0.000000,0.000000,3.141593,0.000000,-33.510568,0.000000,-1.570796,10,10,0,0
16.700844,-49.987700,0.000000,0.000000,3.141593,0.000000,-35.178100,0.000000,-1.570796,10,10,0,0
16.899652,-49.987700,0.000000,0.000000,3.141593,0.000000,-36.795243,0.000000,-1.570796,10,10,0,0
17.098459,-49.987700,0.000000,0.000000,3.141593,0.000000,-38.360487,0.000000,-1.570796,10,10,0,0
17.297267,-49.987700,0.000000,0.000000,3.141593,0.000000,-39.867503,0.000000,-1.570796,10,10,0,0
17.496075,-49.987700,0.000000,0.000000,3.141593,0.000000,-41.297046,0.000000,-1.570796,10,10,0,0
17.694882,-49.987700,0.000000,0.000000,3.141593,0.000000,-42.649724,0.000000,-1.570796,10,10,0,0
17.893690,-49.987700,0.000000,0.000000,3.141593,0.000000,-43.920463,0.000000,-1.570796,10,10,0,0
18.092498,-49.987700,0.000000,0.000000,3.141593,0.000000,-45.087226,0.000000,-1.570796,10,10,0,0
18.291305,-49.987700,0.000000,0.000000,3.141593,0.000000,-46.151576,0.000000,-1.570796,10,10,0,0
18.490113,-49.987700,0.000000,0.000000,3.141593,0.000000,-47.110276,0.000000,-1.570796,10,10,0,0
18.688921,-49.987700,0.000000,0.000000,3.141593,0.000000,-47.939077,0.000000,-1.570796,10,10,0,0
18.887728,-49.987700,0.000000,0.000000,3.141593,0.000000,-48.639338,0.000000,-1.570796,10,10,0,0
19.086536,-49.987700,0.000000,0.000000,3.141593,0.000000,-49.210237,0.000000,-1.570796,10,10,0,0
19.285344,-49.987700,0.000000,0.000000,3.141593,0.000000,-49.625896,0.000000,-1.570796,10,10,0,0
19.484151,-49.987700,0.000000,0.000000,3.141593,0.000000,-49.886307,0.000000,-1.570796,10,10,0,0
19.682959,-49.987700,0.000000,0.000000,3.141593,0.000000,-49.993643,0.000000,-1.570796,10,10,0,0
